id_customer,name,identification,direction,number_phone,email
C0001,Angel Daniel,149186547,"USNS Davis
FPO AP 78518",(873)222-2692x09480,rmiller@boyer.com
C0002,Matthew Wilson,475925688,"42023 Barrett Path Suite 281
Jeremyborough, OH 72889",(264)225-7425,matthew15@ramirez.com
C0003,Jennifer Phelps,112231541,"392 Smith Corners Apt. 737
East Angeltown, MO 64086",248.695.2117,echristian@hotmail.com
C0004,Jonathan Cook,708283326,"657 Landry Way Suite 966
Robinsonfurt, CA 22461",756633727,zjones@yahoo.com
C0005,Lindsay Garcia,959234562,"906 Justin Locks Apt. 838
Port Timothyview, AR 68865",001-158-358-0277,juliamatthews@carpenter.com
C0006,Eric Klein,243553915,"0571 Carroll Cliffs
Davisstad, WI 00721",9179003714,acostajoshua@hotmail.com
C0007,Ashley Adams,7005498,"660 Marcus Camp Suite 262
Port Stevenmouth, NC 10819",(224)273-1751x2329,elambert@cook.info
C0008,Meghan Nguyen,724330039,"259 Jared Manor
Brownville, AZ 52844",767.278.8207,hhughes@randolph-ingram.com
C0009,Ryan Richards,643387222,"695 Francis Cliffs
Port Bryantown, VT 33873",001-398-345-1521x215,phillipcarter@hotmail.com
C0010,Janice Alexander,215716832,"81268 Hamilton Fort
Fitzgeraldfort, ID 71489",+1-411-073-0697x704,matthew55@leach-blackburn.com
C0011,Katherine Dunn,92651576,"837 Schneider Spur Suite 656
Darrellmouth, WI 33323",6081126986,golson@davis.info
C0012,Brett Odom,724488250,"952 Barbara Turnpike
Jacquelinebury, MO 71346",550.725.0901,colemanjames@chavez.info
C0013,Jenna Scott,265881315,"Unit 1694 Box 1865
DPO AE 26667",404-358-1223x371,rogerseric@hotmail.com
C0014,Andrew Johns,401149568,"62457 Booth Mews Apt. 453
Lake Vincentport, DE 49208",894-499-5852x2479,lorinelson@hotmail.com
C0015,Christine Curtis,778029406,"2480 Jesse Unions Suite 534
East Antonioshire, MS 71510",554.861.0493x592,christopherferguson@acevedo-robertson.info
C0016,Madison Jones,307805784,"USNS Ferguson
FPO AP 50263",149.766.5747,wattsdavid@morgan-wheeler.com
C0017,Tracy Simmons,484837788,"76775 Jennifer Orchard Apt. 758
Port Lance, NH 53890",383343588,bryan30@williams.com
C0018,Shelby Wolf,962795476,"613 Billy Radial Suite 171
South Benjamin, WY 15230",7506854443,daniel46@gmail.com
C0019,Kyle Jackson,965030358,"24896 Helen Rapid Suite 758
New Joseph, MN 97017",001-392-237-6541x8420,pwheeler@yahoo.com
C0020,Linda Shepard,644042817,"4947 Reynolds Islands
Kathleenburgh, DE 96988",2931087130,munozcharles@yahoo.com
C0021,Kathleen Brady,689720635,"Unit 6453 Box 5308
DPO AA 48049",2253893664,victoria31@gmail.com
C0022,Bobby Luna,800125157,"2923 Michael Fords Suite 316
Dustinton, IN 31032",001-549-919-1859,kathryn43@hotmail.com
